Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Total
750-67-8428,Member,Female,Health and beauty,74.69,7,548.97
226-31-3081,Normal,Female,Electronic accessories,15.28,5,80.22
631-41-3108,Normal,Male,Home and lifestyle,46.33,7,340.53
123-19-1176,Member,Male,Health and beauty,58.22,8,489.05
373-73-7910,Normal,Male,Sports and travel,86.31,7,634.38
699-14-3026,Normal,Male,Electronic accessories,85.39,7,627.62
355-53-5943,Member,Female,Electronic accessories,68.84,6,433.69
315-22-5665,Normal,Female,Home and lifestyle,73.56,10,772.38
665-32-9167,Member,Female,Health and beauty,36.26,2,76.15
692-92-5582,Member,Female,Food and beverages,54.84,3,172.75
351-62-0822,Member,Female,Fashion accessories,14.48,4,60.82
529-56-3974,Member,Male,Electronic accessories,25.51,4,107.14
365-64-0515,Normal,Female,Electronic accessories,46.95,5,246.49
252-56-2699,Normal,Male,Food and beverages,43.19,10,453.50
829-34-3910,Normal,Female,Health and beauty,71.38,10,749.49
299-46-1805,Member,Female,Sports and travel,93.72,6,590.44
656-95-9349,Member,Female,Health and beauty,68.93,7,506.64
765-26-6951,Normal,Male,Sports and travel,72.61,6,457.44
329-62-1586,Normal,Male,Food and beverages,54.67,3,172.21
319-50-3348,Normal,Female,Home and lifestyle,40.30,2,84.63
300-71-4605,Member,Male,Electronic accessories,86.04,5,451.71
371-85-5789,Normal,Male,Health and beauty,87.98,3,277.14
273-16-6619,Normal,Male,Home and lifestyle,33.20,2,69.72
636-48-8204,Normal,Male,Electronic accessories,34.56,5,181.44
549-59-1358,Member,Male,Sports and travel,88.63,3,279.18
227-03-5010,Member,Female,Home and lifestyle,52.59,8,441.76
649-29-6775,Normal,Male,Fashion accessories,33.52,1,35.20
189-17-4241,Normal,Female,Fashion accessories,87.67,2,184.11
145-94-9061,Normal,Female,Food and beverages,88.36,5,463.89
848-62-7243,Normal,Male,Health and beauty,24.89,9,235.21
871-79-8483,Normal,Male,Fashion accessories,94.13,5,494.18
149-71-6266,Member,Male,Sports and travel,78.07,9,737.76
640-49-2076,Normal,Male,Sports and travel,83.78,8,703.75
595-11-5460,Normal,Male,Health and beauty,96.58,2,202.82
183-56-6882,Member,Female,Food and beverages,99.42,4,417.56
232-16-2483,Member,Female,Sports and travel,68.12,1,71.53
129-29-8530,Member,Male,Sports and travel,62.62,5,328.76
272-65-1806,Normal,Female,Electronic accessories,60.88,9,575.32
333-73-7901,Normal,Female,Health and beauty,54.92,8,461.33
777-82-7220,Member,Male,Home and lifestyle,30.12,8,253.01
280-35-5823,Member,Female,Home and lifestyle,86.72,1,91.06
554-53-8700,Member,Male,Home and lifestyle,56.11,2,117.83
354-25-5821,Member,Female,Sports and travel,69.12,6,435.46
228-96-1411,Member,Female,Food and beverages,98.70,8,829.08
617-15-4209,Member,Male,Health and beauty,15.37,2,32.28
132-32-9879,Member,Female,Electronic accessories,93.96,4,394.63
370-41-7321,Member,Male,Health and beauty,56.69,9,535.72
727-46-3608,Member,Female,Food and beverages,20.01,9,189.09
669-54-1719,Member,Male,Electronic accessories,18.93,6,119.26
574-22-5561,Member,Female,Fashion accessories,82.63,10,867.62
326-78-5178,Member,Male,Food and beverages,91.40,7,671.79
162-48-8011,Member,Female,Food and beverages,44.59,5,234.10
616-24-2851,Member,Female,Fashion accessories,17.87,4,75.05
778-71-5554,Member,Male,Fashion accessories,15.43,1,16.20
242-55-6721,Normal,Male,Home and lifestyle,16.16,2,33.94
399-46-5918,Normal,Female,Electronic accessories,85.98,8,722.23
106-35-6779,Member,Male,Home and lifestyle,44.34,2,93.11
635-40-6220,Normal,Male,Health and beauty,89.60,8,752.64
817-48-8732,Member,Female,Home and lifestyle,72.35,10,759.68
120-06-4233,Normal,Male,Electronic accessories,30.61,6,192.84
285-68-5083,Member,Female,Sports and travel,24.74,3,77.93
803-83-5989,Normal,Male,Home and lifestyle,55.73,6,351.10
347-34-2234,Member,Female,Sports and travel,55.07,9,520.41
199-75-8169,Member,Male,Sports and travel,15.81,10,166.01
853-23-2453,Member,Male,Health and beauty,75.74,4,318.11
877-22-3308,Member,Male,Health and beauty,15.87,10,166.64
838-78-4295,Normal,Female,Health and beauty,33.47,2,70.29
